Nano-RK Version 101
Task2: 0 51757839
Task1: 0 354492369
Task1: 1 298828278
Task2: 2 299804841
Task1: 2 601562808
Task1: 3 296875152
Task2: 4 297851715
Task1: 4 599609682
Task1: 5 294922026
Task2: 6 295898589
Task1: 6 597656556
Task1: 7 292968900
Task2: 8 293945463
Task1: 8 595703430
Task1: 9 291015774
Task2: 10 291992337
Task1: 10 593750304
Task1: 11 289062648
Task2: 12 290039211
Task1: 12 591797178
Task1: 13 287109522
Task2: 14 288086085
Task1: 14 589844052
Task1: 15 285156396
Task2: 16 286132959
Task1: 16 587890926
Task1: 17 283203270
Task2: 18 284179833
Task1: 18 585937800
Task1: 19 281250144
Task2: 20 282226707
Task1: 20 583984674
Task1: 21 279297018
Task2: 22 280273581
Task1: 22 582031548
Task1: 23 277343892
Task2: 24 278320455
Task1: 24 580078422
Task1: 25 275390766
